role_id,skill_id,importance
1,1,0.9
1,2,0.7
1,5,0.5
1,6,0.4
1,24,0.4
1,27,0.9
1,18,0.9
1,20,0.7
1,17,0.6
1,12,0.5
1,13,0.5
1,21,0.5
1,23,0.6
2,3,0.9
2,4,0.8
2,24,0.9
2,27,0.6
2,18,0.8
2,20,0.6
2,21,0.6
2,23,0.6
3,1,0.7
3,3,0.8
3,4,0.7
3,5,0.6
3,24,0.8
3,27,0.8
3,18,0.8
3,20,0.6
3,21,0.6
3,23,0.6
4,1,0.6
4,5,0.9
4,7,0.8
4,10,0.8
4,11,0.8
4,25,0.8
4,18,0.7
4,21,0.7
4,22,0.6
4,23,0.7
5,1,0.5
5,5,0.9
5,7,0.7
5,10,0.8
5,11,0.9
5,25,0.7
5,26,0.5
5,18,0.7
5,21,0.7
5,22,0.7
6,1,0.7
6,5,0.8
6,6,0.7
6,12,0.7
6,13,0.7
6,15,0.6
6,17,0.7
6,18,0.7
6,19,0.7
6,26,0.7
6,28,0.6
7,1,0.9
7,5,0.7
7,7,0.8
7,8,0.9
7,9,0.7
7,25,0.8
7,26,0.6
7,18,0.7
7,20,0.7
7,21,0.5
7,23,0.6
8,1,0.7
8,5,0.6
8,8,0.8
8,12,0.7
8,13,0.7
8,15,0.8
8,16,0.8
8,17,0.7
8,18,0.7
8,19,0.9
8,26,0.6
8,28,0.7
9,1,0.6
9,5,0.7
9,7,0.7
9,10,0.7
9,11,0.6
9,25,0.7
9,18,0.7
9,21,0.8
9,22,0.8
9,23,0.8
10,1,0.6
10,2,0.6
10,3,0.5
10,5,0.5
10,18,0.7
10,20,0.9
10,19,0.6
10,17,0.5
10,21,0.5
11,1,0.6
11,2,0.5
11,5,0.6
11,12,0.7
11,13,0.8
11,14,0.8
11,15,0.7
11,16,0.7
11,17,0.7
11,18,0.6
11,19,0.7
11,21,0.5
